유저식별아이디,나이,성별,학력,시력,참여일자,MC구분,선택_A_161,시간_A_161,확신_161,선택_B_161,시간_B_161,선택_A_162,시간_A_162,확신_162,선택_B_162,시간_B_162,선택_A_163,시간_A_163,확신_163,선택_B_163,시간_B_163,선택_A_164,시간_A_164,확신_164,선택_B_164,시간_B_164,선택_A_165,시간_A_165,확신_165,선택_B_165,시간_B_165,선택_A_166,시간_A_166,확신_166,선택_B_166,시간_B_166,선택_A_167,시간_A_167,확신_167,선택_B_167,시간_B_167,선택_A_168,시간_A_168,확신_168,선택_B_168,시간_B_168,선택_A_169,시간_A_169,확신_169,선택_B_169,시간_B_169,선택_A_170,시간_A_170,확신_170,선택_B_170,시간_B_170,선택_A_171,시간_A_171,확신_171,선택_B_171,시간_B_171,선택_A_172,시간_A_172,확신_172,선택_B_172,시간_B_172,선택_A_173,시간_A_173,확신_173,선택_B_173,시간_B_173,선택_A_174,시간_A_174,확신_174,선택_B_174,시간_B_174,선택_A_175,시간_A_175,확신_175,선택_B_175,시간_B_175,선택_A_176,시간_A_176,확신_176,선택_B_176,시간_B_176,선택_A_177,시간_A_177,확신_177,선택_B_177,시간_B_177,선택_A_178,시간_A_178,확신_178,선택_B_178,시간_B_178,선택_A_179,시간_A_179,확신_179,선택_B_179,시간_B_179,선택_A_180,시간_A_180,확신_180,선택_B_180,시간_B_180,선택_A_181,시간_A_181,확신_181,선택_B_181,시간_B_181,선택_A_182,시간_A_182,확신_182,선택_B_182,시간_B_182,선택_A_183,시간_A_183,확신_183,선택_B_183,시간_B_183,선택_A_184,시간_A_184,확신_184,선택_B_184,시간_B_184,선택_A_185,시간_A_185,확신_185,선택_B_185,시간_B_185,선택_A_186,시간_A_186,확신_186,선택_B_186,시간_B_186,선택_A_187,시간_A_187,확신_187,선택_B_187,시간_B_187,선택_A_188,시간_A_188,확신_188,선택_B_188,시간_B_188,선택_A_189,시간_A_189,확신_189,선택_B_189,시간_B_189,선택_A_190,시간_A_190,확신_190,선택_B_190,시간_B_190,선택_A_191,시간_A_191,확신_191,선택_B_191,시간_B_191,선택_A_192,시간_A_192,확신_192,선택_B_192,시간_B_192,선택_A_193,시간_A_193,확신_193,선택_B_193,시간_B_193,선택_A_194,시간_A_194,확신_194,선택_B_194,시간_B_194,선택_A_195,시간_A_195,확신_195,선택_B_195,시간_B_195,선택_A_196,시간_A_196,확신_196,선택_B_196,시간_B_196,선택_A_197,시간_A_197,확신_197,선택_B_197,시간_B_197,선택_A_198,시간_A_198,확신_198,선택_B_198,시간_B_198,선택_A_199,시간_A_199,확신_199,선택_B_199,시간_B_199,선택_A_200,시간_A_200,확신_200,선택_B_200,시간_B_200,선택_A_201,시간_A_201,확신_201,선택_B_201,시간_B_201,선택_A_202,시간_A_202,확신_202,선택_B_202,시간_B_202,선택_A_203,시간_A_203,확신_203,선택_B_203,시간_B_203,선택_A_204,시간_A_204,확신_204,선택_B_204,시간_B_204,선택_A_205,시간_A_205,확신_205,선택_B_205,시간_B_205,선택_A_206,시간_A_206,확신_206,선택_B_206,시간_B_206,선택_A_207,시간_A_207,확신_207,선택_B_207,시간_B_207,선택_A_208,시간_A_208,확신_208,선택_B_208,시간_B_208,선택_A_209,시간_A_209,확신_209,선택_B_209,시간_B_209,선택_A_210,시간_A_210,확신_210,선택_B_210,시간_B_210,선택_A_211,시간_A_211,확신_211,선택_B_211,시간_B_211,선택_A_212,시간_A_212,확신_212,선택_B_212,시간_B_212,선택_A_213,시간_A_213,확신_213,선택_B_213,시간_B_213,선택_A_214,시간_A_214,확신_214,선택_B_214,시간_B_214,선택_A_215,시간_A_215,확신_215,선택_B_215,시간_B_215,선택_A_216,시간_A_216,확신_216,선택_B_216,시간_B_216,선택_A_217,시간_A_217,확신_217,선택_B_217,시간_B_217,선택_A_218,시간_A_218,확신_218,선택_B_218,시간_B_218,선택_A_219,시간_A_219,확신_219,선택_B_219,시간_B_219,선택_A_220,시간_A_220,확신_220,선택_B_220,시간_B_220,선택_A_221,시간_A_221,확신_221,선택_B_221,시간_B_221,선택_A_222,시간_A_222,확신_222,선택_B_222,시간_B_222,선택_A_223,시간_A_223,확신_223,선택_B_223,시간_B_223,선택_A_224,시간_A_224,확신_224,선택_B_224,시간_B_224,선택_A_225,시간_A_225,확신_225,선택_B_225,시간_B_225,선택_A_226,시간_A_226,확신_226,선택_B_226,시간_B_226,선택_A_227,시간_A_227,확신_227,선택_B_227,시간_B_227,선택_A_228,시간_A_228,확신_228,선택_B_228,시간_B_228,선택_A_229,시간_A_229,확신_229,선택_B_229,시간_B_229,선택_A_230,시간_A_230,확신_230,선택_B_230,시간_B_230,선택_A_231,시간_A_231,확신_231,선택_B_231,시간_B_231,선택_A_232,시간_A_232,확신_232,선택_B_232,시간_B_232,선택_A_233,시간_A_233,확신_233,선택_B_233,시간_B_233,선택_A_234,시간_A_234,확신_234,선택_B_234,시간_B_234,선택_A_235,시간_A_235,확신_235,선택_B_235,시간_B_235,선택_A_236,시간_A_236,확신_236,선택_B_236,시간_B_236,선택_A_237,시간_A_237,확신_237,선택_B_237,시간_B_237,선택_A_238,시간_A_238,확신_238,선택_B_238,시간_B_238,선택_A_239,시간_A_239,확신_239,선택_B_239,시간_B_239,선택_A_240,시간_A_240,확신_240,선택_B_240,시간_B_240
4,,,,,2021-10-17 19:35,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
5,,,,,2021-10-17 19:36,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
6,,,,,2021-10-19 11:09,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
1,,,,,2021-10-19 14:03,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
8,,,,,2021-10-21 16:53,1,19072221,0.46,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19070311,0.98,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19070522,3.79,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19090631,4.4,1,,0,,0,,,0,19081421,1.67,1,,0,,0,,,0,19080133,1.62,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19081421,3.85,1,,0,19070311,4.18,1,,0,19090631,0.87,1,,0,19090631,0.49,1,,0,19071821,1.37,1,,0,19070311,0.2,1,,0,19090631,0.52,1,,0,19090631,0.87,1,,0,19080133,0.88,1,,0,19081632,0.64,1,,0,19092711,0.55,1,,0,19070311,0.56,1,,0
2,,,,,2021-10-25 12:27,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
3,,,,,2021-10-25 12:28,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
7,,,,,2021-10-25 14:04,1,19072221,0.28,1,,0,19081632,2.66,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
0,,,,,2021-10-26 17:21,1,,0,,,0,,0,,,0,,0,,,0,19080133,0.38,1,,0,,0,,,0,,0,,,0,,0,,,0,19090222,1.75,,,0,,0,1,,0,19070311,1.69,,19082131,1.27,,0,,,0,19070231,1.25,1,,0,,0,,,0,19081632,3.75,1,,0,19072221,2.71,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19081632,2.24,1,,0,,0,,,0,19090631,2.2,1,,0,,0,1,,0,19080133,0.61,,19081632,0.91,19081632,1.57,,19072221,1.22,,0,,,0,,0,,,0
9,,,,,2021-10-26 17:42,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
