유저식별아이디,나이,성별,학력,시력,참여일자,MC구분,선택_A_1,시간_A_1,확신_1,선택_B_1,시간_B_1,선택_A_2,시간_A_2,확신_2,선택_B_2,시간_B_2,선택_A_3,시간_A_3,확신_3,선택_B_3,시간_B_3,선택_A_4,시간_A_4,확신_4,선택_B_4,시간_B_4,선택_A_5,시간_A_5,확신_5,선택_B_5,시간_B_5,선택_A_6,시간_A_6,확신_6,선택_B_6,시간_B_6,선택_A_7,시간_A_7,확신_7,선택_B_7,시간_B_7,선택_A_8,시간_A_8,확신_8,선택_B_8,시간_B_8,선택_A_9,시간_A_9,확신_9,선택_B_9,시간_B_9,선택_A_10,시간_A_10,확신_10,선택_B_10,시간_B_10,선택_A_11,시간_A_11,확신_11,선택_B_11,시간_B_11,선택_A_12,시간_A_12,확신_12,선택_B_12,시간_B_12,선택_A_13,시간_A_13,확신_13,선택_B_13,시간_B_13,선택_A_14,시간_A_14,확신_14,선택_B_14,시간_B_14,선택_A_15,시간_A_15,확신_15,선택_B_15,시간_B_15,선택_A_16,시간_A_16,확신_16,선택_B_16,시간_B_16,선택_A_17,시간_A_17,확신_17,선택_B_17,시간_B_17,선택_A_18,시간_A_18,확신_18,선택_B_18,시간_B_18,선택_A_19,시간_A_19,확신_19,선택_B_19,시간_B_19,선택_A_20,시간_A_20,확신_20,선택_B_20,시간_B_20,선택_A_21,시간_A_21,확신_21,선택_B_21,시간_B_21,선택_A_22,시간_A_22,확신_22,선택_B_22,시간_B_22,선택_A_23,시간_A_23,확신_23,선택_B_23,시간_B_23,선택_A_24,시간_A_24,확신_24,선택_B_24,시간_B_24,선택_A_25,시간_A_25,확신_25,선택_B_25,시간_B_25,선택_A_26,시간_A_26,확신_26,선택_B_26,시간_B_26,선택_A_27,시간_A_27,확신_27,선택_B_27,시간_B_27,선택_A_28,시간_A_28,확신_28,선택_B_28,시간_B_28,선택_A_29,시간_A_29,확신_29,선택_B_29,시간_B_29,선택_A_30,시간_A_30,확신_30,선택_B_30,시간_B_30,선택_A_31,시간_A_31,확신_31,선택_B_31,시간_B_31,선택_A_32,시간_A_32,확신_32,선택_B_32,시간_B_32,선택_A_33,시간_A_33,확신_33,선택_B_33,시간_B_33,선택_A_34,시간_A_34,확신_34,선택_B_34,시간_B_34,선택_A_35,시간_A_35,확신_35,선택_B_35,시간_B_35,선택_A_36,시간_A_36,확신_36,선택_B_36,시간_B_36,선택_A_37,시간_A_37,확신_37,선택_B_37,시간_B_37,선택_A_38,시간_A_38,확신_38,선택_B_38,시간_B_38,선택_A_39,시간_A_39,확신_39,선택_B_39,시간_B_39,선택_A_40,시간_A_40,확신_40,선택_B_40,시간_B_40,선택_A_41,시간_A_41,확신_41,선택_B_41,시간_B_41,선택_A_42,시간_A_42,확신_42,선택_B_42,시간_B_42,선택_A_43,시간_A_43,확신_43,선택_B_43,시간_B_43,선택_A_44,시간_A_44,확신_44,선택_B_44,시간_B_44,선택_A_45,시간_A_45,확신_45,선택_B_45,시간_B_45,선택_A_46,시간_A_46,확신_46,선택_B_46,시간_B_46,선택_A_47,시간_A_47,확신_47,선택_B_47,시간_B_47,선택_A_48,시간_A_48,확신_48,선택_B_48,시간_B_48,선택_A_49,시간_A_49,확신_49,선택_B_49,시간_B_49,선택_A_50,시간_A_50,확신_50,선택_B_50,시간_B_50,선택_A_51,시간_A_51,확신_51,선택_B_51,시간_B_51,선택_A_52,시간_A_52,확신_52,선택_B_52,시간_B_52,선택_A_53,시간_A_53,확신_53,선택_B_53,시간_B_53,선택_A_54,시간_A_54,확신_54,선택_B_54,시간_B_54,선택_A_55,시간_A_55,확신_55,선택_B_55,시간_B_55,선택_A_56,시간_A_56,확신_56,선택_B_56,시간_B_56,선택_A_57,시간_A_57,확신_57,선택_B_57,시간_B_57,선택_A_58,시간_A_58,확신_58,선택_B_58,시간_B_58,선택_A_59,시간_A_59,확신_59,선택_B_59,시간_B_59,선택_A_60,시간_A_60,확신_60,선택_B_60,시간_B_60,선택_A_61,시간_A_61,확신_61,선택_B_61,시간_B_61,선택_A_62,시간_A_62,확신_62,선택_B_62,시간_B_62,선택_A_63,시간_A_63,확신_63,선택_B_63,시간_B_63,선택_A_64,시간_A_64,확신_64,선택_B_64,시간_B_64,선택_A_65,시간_A_65,확신_65,선택_B_65,시간_B_65,선택_A_66,시간_A_66,확신_66,선택_B_66,시간_B_66,선택_A_67,시간_A_67,확신_67,선택_B_67,시간_B_67,선택_A_68,시간_A_68,확신_68,선택_B_68,시간_B_68,선택_A_69,시간_A_69,확신_69,선택_B_69,시간_B_69,선택_A_70,시간_A_70,확신_70,선택_B_70,시간_B_70,선택_A_71,시간_A_71,확신_71,선택_B_71,시간_B_71,선택_A_72,시간_A_72,확신_72,선택_B_72,시간_B_72,선택_A_73,시간_A_73,확신_73,선택_B_73,시간_B_73,선택_A_74,시간_A_74,확신_74,선택_B_74,시간_B_74,선택_A_75,시간_A_75,확신_75,선택_B_75,시간_B_75,선택_A_76,시간_A_76,확신_76,선택_B_76,시간_B_76,선택_A_77,시간_A_77,확신_77,선택_B_77,시간_B_77,선택_A_78,시간_A_78,확신_78,선택_B_78,시간_B_78,선택_A_79,시간_A_79,확신_79,선택_B_79,시간_B_79,선택_A_80,시간_A_80,확신_80,선택_B_80,시간_B_80
4,,,,,2021-10-17 19:35,1,19070311,1.8,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
5,,,,,2021-10-17 19:36,1,19070311,1.46,1,,0,19090631,1.18,,19070522,1.39,19071821,0.37,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
6,,,,,2021-10-19 11:09,1,19070311,1.41,1,,0,19080133,3.6,1,,0,19071821,2.23,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19081632,2.6,1,,0,19081421,0.7,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
1,,,,,2021-10-19 14:03,1,19081632,1.14,1,,0,19070522,1.14,1,,0,19090631,1.7,1,,0,19090631,0.5,,19070311,1.18,19082131,0.48,1,,0,19070231,1.3,1,,0,19092521,1.97,1,,0,19080133,1.81,1,,0,19072221,1.28,1,,0,19092521,1.41,1,,0,19082032,1.4,,19081421,1.14,19090631,1.53,1,,0,19071131,0.43,0,,0,19082131,1.47,1,,0,19092521,2.86,1,,0,19092521,1.68,1,,0,19081632,0.37,1,,0,19072221,0.28,1,,0,19072221,1.6,1,,0,19070231,2.55,1,,0,19080133,0.36,1,,0,19080133,0.56,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19081632,0.44,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19092711,1.37,1,,0,,0,,,0,,0,,,0,,0,,,0,19090631,0.21,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19080133,1.74,1,,0,19072221,1.84,1,,0,19071821,0.61,1,,0,19072221,0.39,1,,0,19092711,2.54,1,,0,19090631,1.31,1,,0,19082032,0.17,1,,0,19071821,1.91,1,,0,,0,,,0,19081632,0.38,,,0,,0,,,0,,0,,,0,19090631,2.85,1,,0,19071821,0.56,1,,0,19082131,1.54,1,,0,19081632,2.53,1,,0
8,,,,,2021-10-21 16:53,1,19070311,0.98,1,,0,19082131,4.76,,19090631,2.72,19071821,2.93,1,,0,19070311,1.62,1,,0,19082131,3.46,1,,0,19072922,2.56,1,,0,19081632,3.97,1,,0,19082131,4.39,1,,0,19081632,0.27,1,,0,19081421,4.91,,19092711,2.29,19081421,3.56,,,0,19092521,3.9,,,0,19092521,4.56,,,0,19082131,4.95,1,,0,19081632,0.9,1,,0,19080133,1.86,,19092521,0.27,19090222,3.75,,,0,19072221,1.95,1,,0,19072221,1.93,1,,0,19082131,3.41,,,0,19081632,3.5,,,0,19072922,3.81,,,0,,0,,,0,,0,,,0,,0,,,0,19082131,3.68,,,0,,0,,,0,19081632,2.65,,,0,19092711,2.44,,,0,,0,,,0,19080133,1.88,1,,0,19082131,1.4,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19081421,2.32,1,,0,,0,,,0,19090631,2.98,,,0,19070522,2.71,,,0,19080133,1.55,,,0,19072221,1.32,,,0,,0,,,0,,0,,,0,19092711,1.65,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19092711,2.17,1,,0,19092711,1.21,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19071821,2.7,,,0,19082131,3.68,,,0,,0,,,0,19090222,1.32,,19090631,4.28,19081421,1.6,1,,0,19070231,2.28,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
2,,,,,2021-10-25 12:27,1,19070311,2.74,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19082131,0.85,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
3,,,,,2021-10-25 12:28,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
7,,,,,2021-10-25 14:04,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
0,,,,,2021-10-26 17:21,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,19090631,0.8,,19080133,0.68,,0,,,0,19080133,3.51,1,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
9,,,,,2021-10-26 17:42,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
